Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
DMO,SEDALIA REGIONAL,Yes,No,Yes,No
H58,OWEN FIELD,Yes,No,No,Yes
6K2,SHELBY COUNTY,No,No,No,No
SIK,SIKESTON MEMORIAL MUNICIPAL,Yes,No,Yes,Yes
SGF,SPRINGFIELD-BRANSON NATIONAL,Yes,No,No,Yes
3DW,DOWNTOWN,Yes,No,No,Yes
MO2,FLYING BAR H RANCH,No,No,No,No
M12,STEELE MUNICIPAL,No,No,Yes,No
MO3,STOCKTON MUNICIPAL,Yes,No,No,No
UUV,SULLIVAN REGIONAL,Yes,No,No,Yes
K57,GOULD PETERSON MUNICIPAL,Yes,No,No,No
42M,THAYER MEMORIAL,No,No,No,Yes
TRX,TRENTON MUNICIPAL,Yes,No,No,Yes
K43,UNIONVILLE MUNICIPAL,No,No,Yes,Yes
MO5,BOLLINGER CRASS MEMORIAL,No,No,No,Yes
3VS,ROY OTTEN MEMORIAL,Yes,No,No,Yes
RCM,UCM SKYHAVEN,Yes,No,Yes,No
RAW,WARSAW MUNICIPAL,Yes,No,No,No
FYG,WASHINGTON REGIONAL,Yes,No,No,Yes
TBN,WAYNESVILLE - ST. ROBERT REGIONAL,Yes,No,No,Yes
UNO,WEST PLAINS REGIONAL,Yes,No,No,Yes
1H5,WILLOW SPRINGS MEMORIAL,Yes,No,Yes,Yes
