Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
ORL,Executive Airport,Yes,No,No,Yes
ISM,Kissimmee Gateway Airport,Yes,No,No,Yes
MCO,Orlando International Airport,Yes,No,No,Yes
SFB,Orlando Sanford International Airport,Yes,No,No,Yes
OMN,Ormond Beach Municipal Airport,No,No,No,Yes
PHK,Palm Beach County Glades Airport,No,No,No,Yes
28J,Palatka Municipal-Lt. Kay Larkin Field,Yes,No,No,No
FIN,Flagler Executive Airport,Yes,No,No,Yes
48X,Airport Manatee,No,No,No,No
2J0,Wakulla County Airport,No,No,No,No
ECP,Northwest Florida Beaches International Airport,Yes,No,No,Yes
82J,Ferguson Airport,Yes,No,No,Yes
PNS,Pensacola International Airport,Yes,No,No,Yes
40J,Perry-Foley Airport,No,No,No,Yes
2J8,Pierson Municipal Airport,No,No,No,No
PCM,Plant City Airport,Yes,No,No,Yes
PMP,Pompano Beach Airpark,Yes,No,No,Yes
A51,Costin Airport,No,No,No,Yes
PGD,Punta Gorda Airport,Yes,No,No,Yes
F13,Shell Creek Airpark,No,No,No,No
2J9,Quincy Municipal Airport,No,No,No,Yes
2RR,River Ranch Resort Airport,No,No,No,Yes
SGJ,Northeast Florida Regional Airport,Yes,No,No,Yes
SPG,Albert Whitted Airport,Yes,No,No,Yes
PIE,Saint Pete-Clearwater International Airport,Yes,No,No,Yes
SRQ,Sarasota / Bradenton International Airport,Yes,No,No,Yes
X26,Sebastian Municipal Airport,No,No,No,Yes
SEF,Sebring Regional Airport,Yes,No,No,Yes
SUA,Witham Field,Yes,No,No,No
TLH,Tallahassee International Airport,Yes,No,No,Yes
68J,Tallahassee Commercial Airport,Yes,No,No,Yes
TPF,Peter O Knight Airport,Yes,No,No,Yes
VDF,Tampa Executive Airport,Yes,No,No,Yes
TPA,Tampa International Airport,Yes,No,No,Yes
X39,Tampa North Aero Park,Yes,No,No,Yes
FA1,Tavares Seaplane Base,No,No,No,Yes
X21,Arthur Dunn Air Park,No,No,No,No
TIX,Space Coast Regional Airport,Yes,No,No,Yes
X23,Umatilla Municipal Airport,No,No,No,Yes
X59,Valkaria Airport,Yes,No,No,Yes
VPS,Destin - Fort Walton Beach Airport / Eglin Air Force Base,Yes,No,No,Yes
VNC,Venice Municipal Airport,Yes,No,No,Yes
X52,New Hibiscus Airpark,No,No,No,Yes
VRB,Vero Beach Regional Airport,Yes,No,No,Yes
CHN,Wauchula Municipal Airport,Yes,No,No,Yes
F45,North Palm Beach County General Aviation Airport,Yes,No,No,Yes
LNA,Palm Beach County Park Airport,Yes,No,No,Yes
PBI,Palm Beach International Airport,Yes,No,No,Yes
X60,Williston Municipal Airport,Yes,No,No,Yes
F57,Jack Browns Seaplane Base,Yes,No,No,Yes
GIF,Winter Haven Regional Airport,Yes,No,No,Yes
X61,Bob White Field,No,No,No,No
ZPH,Zephyrhills Municipal Airport,Yes,No,No,Yes
